"","x"
"tom",620
"said",355
"boy",253
"now",223
"donxt",205
"time",202
"one",191
"xll",190
"huck",178
"got",172
"upon",150
"come",149
"tomx",147
"know",141
"littl",140
"see",139
"just",138
"get",136
"work",131
"away",126
"joe",125
"like",125
"never",122
"look",121
"back",120
"ainxt",119
"came",116
"two",112
"say",111
"went",111
"began",109
"way",109
"thing",104
"good",102
"hand",100
"tell",100
"ever",98
"old",97
"day",96
"long",96
"want",94
"xwell",94
"present",92
"turn",92
"night",91
"right",89
"thought",88
"xoh",88
"becki",87
"made",86
"eye",85
"seem",85
"found",84
"make",84
"around",83
"face",83
"project",83
"tri",83
"took",81
"will",81
"take",80
"everi",79
"last",78
"talk",78
"still",76
"head",75
"let",75
"place",75
"can",74
"heart",73
"chapter",72
"injun",72
"great",71
"well",71
"xve",71
"moment",70
"reckon",70
"aunt",69
"sid",69
"xre",69
"alway",67
"even",64
"might",62
"dead",60
"keep",59
"much",59
"anoth",58
"find",58
"hous",58
"put",58
"think",58
"along",57
"villag",57
"gutenbergtm",56
"new",56
"till",55
"enough",54
"give",53
"man",53
"someth",53
"stood",53
"three",53
"use",53
"wonxt",53
"hope",52
"mind",52
"must",52
"whisper",52
"without",52
"next",51
"xwhi",51
"done",50
"follow",50
"home",50
"lay",50
"anyth",49
"huckx",49
"poor",49
"word",49
"light",48
"school",47
"far",46
"girl",46
"knew",46
"move",46
"polli",46
"told",46
"wish",46
"wouldnxt",46
"anybodi",45
"didnxt",45
"door",44
"soon",44
"troubl",44
"canxt",43
"hour",43
"noth",43
"potter",43
"stop",43
"town",43
"xye",43
"fell",42
"close",41
"gone",41
"hear",41
"rest",41
"sat",41
"start",41
"wait",41
"mani",40
"men",40
"saw",40
"water",40
"cave",39
"joex",39
"thatcher",39
"world",39
"xem",39
"drop",38
"hard",38
"mari",38
"small",38
"sound",38
"stand",38
"almost",37
"end",37
"felt",37
"first",37
"gave",37
"half",37
"whole",37
"xno",37
"cri",36
"dark",36
"feel",36
"full",36
"harper",36
"near",36
"sleep",36
"xtom",36
"better",35
"minut",35
"part",35
"voic",35
"watch",35
"call",34
"interest",34
"judg",34
"morn",34
"pirat",34
"reach",34
"step",34
"tear",34
"xnow",34
"bodi",33
"mayb",33
"mean",33
"peopl",33
"sawyer",33
"side",33
"silenc",33
"state",33
"widow",33
"brought",32
"care",32
"cours",32
"lost",32
"white",32
"young",32
"church",31
"die",31
"matter",31
"name",31
"pass",31
"set",31
"wonder",31
"xwhat",31
"behind",30
"dream",30
"everyth",30
"ground",30
"left",30
"open",30
"suffer",30
"within",30
"electron",29
"heard",29
"help",29
"money",29
"notic",29
"window",29
"xitx",29
"adventur",28
"air",28
"breath",28
"fire",28
"life",28
"order",28
"togeth",28
"xyou",28
"bed",27
"believ",27
"book",27
"children",27
"feet",27
"hill",27
"leav",27
"toward",27
"xand",27
"arm",26
"ear",26
"kill",26
"listen",26
"mighti",26
"river",26
"seen",26
"show",26
"spirit",26
"treasur",26
"yet",26
"ben",25
"bet",25
"busi",25
"copi",25
"gutenberg",25
"kind",25
"ladi",25
"late",25
"lie",25
"may",25
"mrs",25
"smoke",25
"stir",25
"cat",24
"distribut",24
"foundat",24
"grew",24
"hate",24
"huckleberri",24
"love",24
"mile",24
"play",24
"sort",24
"sudden",24
"wood",24
"enter",23
"fear",23
"fenc",23
"fool",23
"friend",23
"glad",23
"high",23
"instant",23
"rememb",23
"broke",22
"candl",22
"comfort",22
"final",22
"general",22
"kept",22
"knife",22
"lad",22
"master",22
"run",22
"short",22
"stay",22
"sure",22
"term",22
"ask",21
"carri",21
"cloth",21
"couldnxt",21
"glanc",21
"happen",21
