,Source,Target,Weight,Type
1,Chekhov2,Chekhov3,50,undirected
2,Chekhov2,Chekhov4,38,undirected
3,Chekhov2,Dickens1,16,undirected
4,Chekhov2,Dickens3,18,undirected
5,Chekhov3,Chekhov2,50,undirected
6,Chekhov3,Chekhov4,60,undirected
7,Chekhov3,Dickens1,1,undirected
8,Chekhov3,Dickens2,1,undirected
9,Chekhov3,Dickens4,9,undirected
10,Chekhov4,Chekhov2,38,undirected
11,Chekhov4,Chekhov3,60,undirected
12,Chekhov4,Dickens2,10,undirected
13,Chekhov4,Dickens4,11,undirected
14,Chekov1,Ibsen1,1,undirected
15,Chekov1,Strindberg1,2,undirected
16,Chekov1,Strindberg2,3,undirected
17,Chekov1,Strindberg3,5,undirected
18,Chekov1,Strindberg4,26,undirected
19,Chekov1,Strindberg5,24,undirected
20,Dickens1,Chekhov2,16,undirected
21,Dickens1,Chekhov3,1,undirected
22,Dickens1,Dickens2,21,undirected
23,Dickens1,Dickens3,53,undirected
24,Dickens1,Dickens4,57,undirected
25,Dickens2,Chekhov3,1,undirected
26,Dickens2,Chekhov4,10,undirected
27,Dickens2,Dickens1,21,undirected
28,Dickens2,Dickens3,1,undirected
29,Dickens2,Dickens4,42,undirected
30,Dickens3,Chekhov2,18,undirected
31,Dickens3,Dickens1,53,undirected
32,Dickens3,Dickens2,1,undirected
33,Dickens3,Dickens4,32,undirected
34,Dickens4,Chekhov3,9,undirected
35,Dickens4,Chekhov4,11,undirected
36,Dickens4,Dickens1,57,undirected
37,Dickens4,Dickens2,42,undirected
38,Dickens4,Dickens3,32,undirected
39,Ibsen1,Chekov1,1,undirected
40,Ibsen1,Strindberg1,7,undirected
41,Ibsen1,Strindberg3,27,undirected
42,Ibsen1,Strindberg4,4,undirected
43,Ibsen1,Strindberg5,21,undirected
44,Strindberg1,Chekov1,2,undirected
45,Strindberg1,Ibsen1,7,undirected
46,Strindberg1,Strindberg2,41,undirected
47,Strindberg1,Strindberg3,21,undirected
48,Strindberg1,Strindberg4,4,undirected
49,Strindberg1,Strindberg5,6,undirected
50,Strindberg2,Chekov1,3,undirected
51,Strindberg2,Strindberg1,41,undirected
52,Strindberg2,Strindberg3,27,undirected
53,Strindberg2,Strindberg4,47,undirected
54,Strindberg2,Strindberg5,11,undirected
55,Strindberg3,Chekov1,5,undirected
56,Strindberg3,Ibsen1,27,undirected
57,Strindberg3,Strindberg1,21,undirected
58,Strindberg3,Strindberg2,27,undirected
59,Strindberg3,Strindberg4,44,undirected
60,Strindberg3,Strindberg5,60,undirected
61,Strindberg4,Chekov1,26,undirected
62,Strindberg4,Ibsen1,4,undirected
63,Strindberg4,Strindberg1,4,undirected
64,Strindberg4,Strindberg2,47,undirected
65,Strindberg4,Strindberg3,44,undirected
66,Strindberg4,Strindberg5,39,undirected
67,Strindberg5,Chekov1,24,undirected
68,Strindberg5,Ibsen1,21,undirected
69,Strindberg5,Strindberg1,6,undirected
70,Strindberg5,Strindberg2,11,undirected
71,Strindberg5,Strindberg3,60,undirected
72,Strindberg5,Strindberg4,39,undirected
