"","results.id","results.wordcount"
"1","world/2018/jan/09/justin-trudeau-joshua-boyle-hostage-meeting-arrest","591"
"2","world/2018/jan/13/us-canada-trump-trudeau-trade","672"
"3","world/2018/jan/03/joshua-boyle-freed-taliban-hostage-arrested-for-sexual-assault","483"
"4","politics/2018/jan/08/theresa-mays-reshuffle-thrown-off-course-by-defiant-ministers","1124"
"5","culture/2018/jan/05/justin-timberlake-filthy-review","505"
"6","politics/2018/jan/08/james-brokenshire-resigns-northern-ireland-secretary-cabinet-reshuffle","1050"
"7","politics/blog/live/2018/jan/08/cabinet-reshuffle-theresa-may-tory-government-pm-to-start-shifting-ministers-politics-live","9350"
"8","uk-news/2018/jan/09/hero-lorry-driver-helps-stranded-woman-hospital-give-birth-mersea-island","358"
"9","society/2018/jan/01/high-time-cannabis-advice-column-california-legalization","779"
"10","world/2018/jan/01/archbishop-of-canterbury-new-year-message-compassion-2018","337"
"11","commentisfree/2018/jan/09/justine-greening-departure-tory-education-secretary","742"
"12","education/2018/jan/11/justine-greening-blocked-bid-reduce-tuition-fees-nick-timothy","338"
"13","music/2018/jan/12/liam-payne-rita-ora-track-of-week","392"
"14","politics/2018/jan/08/cabinet-reshuffle-whos-in-whos-out","2824"
"15","sport/2018/jan/06/tommy-fleetwood-win-majors-ryder-cups","1144"
"16","world/2018/jan/15/dementia-towns-japan-ageing-population","1090"
"17","us-news/2018/jan/13/democratic-donor-tom-steyer-millions-the-resistance-now","443"
"18","commentisfree/2018/jan/12/new-us-embassy-fabulous-not-tainted-by-donald-trump-visit","899"
"19","us-news/2018/jan/12/debunked-trump-reasons-for-cancelling-london-visit","363"
"20","technology/2018/jan/10/apple-hmrc-forced-pay-137m-pounds-extra-tax-iphone","386"
"21","commentisfree/2018/jan/10/the-media-should-not-settle-for-truthiness-on-trump","1034"
"22","commentisfree/2018/jan/03/pop-stars-politics-lorde","1339"
"23","environment/2018/jan/03/short-term-thinking-of-uk-nuclear-policy","472"
"24","sport/2018/jan/15/dan-gurney-obituary","1159"
"25","us-news/2018/jan/07/trumps-voter-commissionn-kris-kobach-homeland-security-immigration","1139"
"26","commentisfree/2018/jan/03/muslim-women-speaking-up-against-violence-are-silenced-we-must-amplify-their-voices","801"
"27","music/2018/jan/12/playlist-curation-killing-off-greatest-hits-album-rihanna","438"
"28","tv-and-radio/2018/jan/02/tuesdays-best-tv-prince-last-year-of-a-legend-inside-no-9","787"
"29","society/2018/jan/08/nhs-beds-crisis-sick-patients-can-sit-in-ae-says-health-minister","526"
"30","us-news/2018/jan/09/ivanka-trump-oprah-winfrey-speech-twitter-golden-globes","285"
"31","football/2018/jan/15/cyrille-regis-pioneer-on-the-pitch-leader-of-a-generation","950"
"32","commentisfree/2018/jan/15/facebook-news-feed-algorithm-social-media-addiction","825"
"33","sport/2018/jan/13/ospreys-saracens-european-champions-cup-match-report","914"
"34","music/2018/jan/09/ray-thomas-obituary","858"
"35","commentisfree/2018/jan/05/perfectionism-mental-health-millennial-social-media","875"
"36","society/2018/jan/04/theresa-may-changes-tack-to-apologise-for-postponed-operations","898"
"37","technology/2018/jan/07/bitcoin-crypto-currencies-mcafee","1410"
"38","us-news/2018/jan/04/trump-lawyers-book-steve-bannon-white-house","1078"
"39","sport/2018/jan/12/the-joy-of-six-10th-wicket-partnerships-in-test-cricket","1246"
"40","science/2018/jan/03/what-the-ancient-dna-discovery-tells-us-about-native-american-ancestry","1295"
"41","sport/2018/jan/11/eddie-jones-dylan-hartley-art-captaincy-england","1070"
"42","media/media-blog/2018/jan/07/what-rupert-murdoch-thinks-donald-trump-fire-fury-michael-wolff","1189"
"43","film/filmblog/2018/jan/03/uk-box-office-star-wars-the-last-jedi-beauty-and-the-beast-jumanji-greatest-showman","812"
"44","education/2018/jan/11/toby-young-is-gone-but-he-was-the-least-of-universities-problems","1525"
"45","politics/2018/jan/07/theresa-may-vows-to-stay-pm-cabinet-reshuffle","1544"
"46","music/2018/jan/02/essential-pop-2018-preview-lady-gaga-kendrick-lamar-harry-styles","2346"
"47","film/live/2018/jan/07/golden-globes-2018-live-seth-meyers-get-out-lady-bird-the-handmaids-tale","6194"
"48","sport/2018/jan/09/jaylen-brown-boston-celtics-nba-interview","2679"
"49","sport/live/2018/jan/01/rob-cross-v-phil-taylor-pdc-world-darts-championship-final-live","3272"
"50","football/live/2018/jan/06/fa-cup-third-round-and-more-football-clockwatch-live","2883"
"51","global/live/2018/jan/07/australia-v-england-fifth-ashes-test-day-four-live","9923"
"52","business/live/2018/jan/11/christmas-tesco-marks-and-spencer-john-lewis-retail-stock-markets","5612"
